"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1844.84984376437,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1223.60392131354,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",903.449351635753,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",882.282702701047,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",638.731695673269,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",598.290968728108,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",549.503755599888,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",474.456900103068,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",567.517902154176,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",609.373128300476,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",519.635847459547,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",551.892919214456,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",762.398733247892,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1302.55005158505,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1673.90614635689,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1765.07876843445,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1871.75605670825,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",494.129227253689,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",563.047086217561,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",583.085838768235,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",733.537888694616,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",786.802214827723,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",992.74539908679,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1250.40691277354,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1652.15400173092,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1876.41303262801,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2227.79034922679,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1883.88778309689,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2280.11128904338,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2504.87910104512,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2728.02278831129,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2976.75683168398,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3200.95279935925,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2679.5542234874,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2144.78034442697,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1941.87947889475,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2125.83449073877,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2334.02364195898,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2074.61374785422,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2065.77441035114,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2162.6337321033,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2023","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1621.12351497744,"Nominal GDP Per Capita"
